data/id,data/name,data/price,data/cpumark,data/thread,data/value,data/threadValue,data/tdp,data/powerPerf,data/date,data/socket,data/cat,data/speed,data/turbo,data/cores,data/logicals,data/rank,data/samples,data/href,data/output,data/family
4512,06/8c,NA,"5,040","2,680",NA,NA,NA,NA,NA,Unknown,Mobile/Embedded,0,NA,8,1,1062,1,06%2F8c&amp;id=4512,true,
4471,06/8e,NA,"3,848","2,388",NA,NA,NA,NA,NA,Unknown,Mobile/Embedded,0,NA,8,1,1266,2,06%2F8e&amp;id=4471,true,
4573,15/70,NA,"1,085",878,NA,NA,NA,NA,Oct 2021,Unknown,Unknown,1596,NA,2,1,2552,2,15%2F70&amp;id=4573,true,
4039,AArch64 rev 0 (aarch64),NA,"2,671","1,102",NA,NA,NA,NA,NA,Unknown,Unknown,2516,NA,8,1,1616,41,AArch64+rev+0+%28aarch64%29&amp;id=4039,true,
3996,AArch64 rev 1 (aarch64),NA,"2,288","1,033",NA,NA,NA,NA,NA,Unknown,Unknown,2362000,NA,8,1,1764,60,AArch64+rev+1+%28aarch64%29&amp;id=3996,true,
4017,AArch64 rev 2 (aarch64),NA,"1,969",921,NA,NA,NA,NA,NA,Unknown,Unknown,2189,NA,8,1,1943,32,AArch64+rev+2+%28aarch64%29&amp;id=4017,true,
3916,AArch64 rev 4 (aarch64),NA,"1,661",642,NA,NA,NA,NA,NA,Unknown,Unknown,2112000,NA,8,1,2132,61,AArch64+rev+4+%28aarch64%29&amp;id=3916,true,
3980,AC8257V/WAB,NA,707,443,NA,NA,NA,NA,NA,Unknown,Unknown,2001000,NA,8,1,2906,4,AC8257V%2FWAB&amp;id=3980,true,
4455,AMD 3015Ce,NA,"1,525","1,389",NA,NA,6,254.14,NA,FT5,Mobile/Embedded,1200,2300,2,2,2226,3,AMD+3015Ce&amp;id=4455,true,
3774,AMD 3015e,NA,"2,674","1,403",NA,NA,6,445.74,Jul 2020,Unknown,Laptop,1200,2300,2,2,1615,10,AMD+3015e&amp;id=3774,true,23
3758,AMD 3020e,NA,"2,591","1,471",NA,NA,6,431.86,Jun 2020,Unknown,Laptop,1200,2600,2,1,1642,62,AMD+3020e&amp;id=3758,true,23
4309,AMD 4700S,NA,"18,260","2,401",NA,NA,NA,NA,Apr 2021,Unknown,Desktop,3600,4000,8,2,269,6,AMD+4700S&amp;id=4309,true,23
2520,AMD A10 Micro-6700T APU,NA,"1,291",703,NA,NA,5,258.18,May 2015,FT3b,Laptop,1200,2200,4,1,2375,6,AMD+A10+Micro-6700T+APU&amp;id=2520,true,22
2271,AMD A10 PRO-7350B APU,NA,"1,910",911,NA,NA,19,100.55,Jun 2014,FP3,Laptop,2100,3300,4,1,1980,138,AMD+A10+PRO-7350B+APU&amp;id=2271,true,21
2407,AMD A10 PRO-7800B APU,NA,"3,171","1,496",NA,NA,65,48.78,Oct 2014,FM2+,Desktop,3500,3900,2,2,1434,26,AMD+A10+PRO-7800B+APU&amp;id=2407,true,21
2416,AMD A10 PRO-7850B APU,$148.02,"3,458","1,587",23.36,10.72,95,36.40,Nov 2014,FM2+,Desktop,3700,4000,2,2,1353,15,AMD+A10+PRO-7850B+APU&amp;id=2416,true,21
10,AMD A10-4600M APU,$98.99*,"1,904","1,068",19.24,10.79,35,54.40,Apr 2012,FS1r2,Laptop,2300,3200,2,2,1985,1038,AMD+A10-4600M+APU&amp;id=10,true,21
11,AMD A10-4655M APU,NA,"1,637",909,NA,NA,25,65.47,Jul 2012,FP2,Laptop,2000,2800,2,2,2150,155,AMD+A10-4655M+APU&amp;id=11,true,21
1906,AMD A10-4657M APU,NA,"1,759",940,NA,NA,35,50.27,May 2013,FP2,Laptop,2300,3200,4,1,2068,3,AMD+A10-4657M+APU&amp;id=1906,true,21
12,AMD A10-5700 APU,$59.95*,"2,748","1,450",45.84,24.18,65,42.28,Jun 2012,FM2,Desktop,3400,4000,2,2,1587,604,AMD+A10-5700+APU&amp;id=12,true,21
