data/id,data/name,data/price,data/g3d,data/g2d,data/value,data/tdp,data/powerPerf,data/date,data/cat,data/bus,data/memSize,data/coreClk,data/memClk,data/rank,data/samples,data/href,data/output
151,128 DDR Radeon 9700 TX w/TV-Out,NA,44,152,NA,NA,NA,Mar 2011,Unknown,NA,NA,NA,NA,1932,2,128+DDR+Radeon+9700+TX+w%2FTV-Out&amp;id=151,true
153,128 DDR Radeon 9800 Pro,NA,62,191,NA,NA,NA,Feb 2010,Unknown,NA,NA,NA,NA,1872,1,128+DDR+Radeon+9800+Pro&amp;id=153,true
157,128MB DDR Radeon 9800 Pro,NA,66,175,NA,NA,NA,Aug 2009,Unknown,NA,NA,NA,NA,1861,4,128MB+DDR+Radeon+9800+Pro&amp;id=157,true
155,128MB RADEON X600 SE,$56.18*,49,229,0.87,NA,NA,Oct 2009,Unknown,NA,NA,NA,NA,1913,6,128MB+RADEON+X600+SE&amp;id=155,true
4220,15FF,NA,"8,229",538,NA,NA,NA,Jul 2020,Unknown,NA,NA,NA,NA,148,3,15FF&amp;id=4220,true
162,256MB DDR Radeon 9800 XT,NA,38,192,NA,NA,NA,Apr 2009,Unknown,NA,NA,NA,NA,1958,1,256MB+DDR+Radeon+9800+XT&amp;id=162,true
161,256MB RADEON X600,NA,67,252,NA,NA,NA,Apr 2009,Unknown,NA,NA,NA,NA,1852,5,256MB+RADEON+X600&amp;id=161,true
4013,3DP Edition,NA,827,931,NA,NA,NA,Nov 2018,Unknown,NA,NA,NA,NA,917,1,3DP+Edition&amp;id=4013,true
1150,64MB DDR GeForce3 Ti 200,NA,6,218,NA,NA,NA,Dec 2009,Unknown,NA,NA,NA,NA,2109,1,64MB+DDR+GeForce3+Ti+200&amp;id=1150,true
191,64MB GeForce2 MX with TV Out,NA,3,98,NA,NA,NA,Apr 2009,Unknown,NA,NA,NA,NA,2206,1,64MB+GeForce2+MX+with+TV+Out&amp;id=191,true
2314,7900 MOD - Radeon HD 6520G,NA,610,323,NA,NA,NA,Dec 2012,Unknown,NA,NA,NA,NA,1136,4,7900+MOD+-+Radeon+HD+6520G&amp;id=2314,true
2390,7900 MOD - Radeon HD 6550D,NA,893,536,NA,NA,NA,Jan 2013,Unknown,NA,NA,NA,NA,871,1,7900+MOD+-+Radeon+HD+6550D&amp;id=2390,true
2813,9xx Soldiers sans frontiers Sigma 2,NA,22,253,NA,NA,NA,Feb 2014,Unknown,NA,NA,NA,NA,2035,1,9xx+Soldiers+sans+frontiers+Sigma+2&amp;id=2813,true
4175,A10-8700P,NA,514,302,NA,NA,NA,Dec 2019,Unknown,NA,NA,NA,NA,1251,2,A10-8700P&amp;id=4175,true
3424,A6 Micro-6500T Quad-Core APU with RadeonR4,NA,220,127,NA,NA,NA,Jan 2016,Unknown,NA,NA,NA,NA,1524,7,A6+Micro-6500T+Quad-Core+APU+with+RadeonR4&amp;id=3424,true
3355,ABIT Siluro T400,NA,4,151,NA,NA,NA,Nov 2015,Unknown,NA,NA,NA,NA,2161,2,ABIT+Siluro+T400&amp;id=3355,true
214,ALL-IN-WONDER 9000,NA,5,103,NA,NA,NA,Dec 2009,Unknown,NA,NA,NA,NA,2128,4,ALL-IN-WONDER+9000&amp;id=214,true
217,ALL-IN-WONDER 9800,NA,23,139,NA,NA,NA,Aug 2011,Unknown,NA,NA,NA,NA,2028,1,ALL-IN-WONDER+9800&amp;id=217,true
222,ALL-IN-WONDER RADEON 8500DV,NA,6,128,NA,NA,NA,Dec 2010,Unknown,NA,NA,NA,NA,2114,4,ALL-IN-WONDER+RADEON+8500DV&amp;id=222,true
228,All-in-Wonder X1800XL,NA,30,283,NA,NA,NA,Oct 2011,Unknown,NA,NA,NA,NA,1998,1,All-in-Wonder+X1800XL&amp;id=228,true
229,All-in-Wonder X1900,NA,127,445,NA,NA,NA,Oct 2009,Unknown,NA,NA,NA,NA,1657,4,All-in-Wonder+X1900&amp;id=229,true
230,ALL-IN-WONDER X800 GT,NA,84,186,NA,NA,NA,Oct 2009,Unknown,NA,NA,NA,NA,1792,3,ALL-IN-WONDER+X800+GT&amp;id=230,true
4177,AMIGAMERLIN 3.1-R1 For Voodoo 4 4500 PCI,NA,3,110,NA,NA,NA,Dec 2019,Unknown,NA,NA,NA,NA,2186,1,AMIGAMERLIN+3.1-R1+For+Voodoo+4+4500+PCI&amp;id=4177,true
336,ASUS A7000,NA,9,164,NA,NA,NA,Jan 2010,Unknown,NA,NA,NA,NA,2072,1,ASUS+A7000&amp;id=336,true
2539,ASUS AGP-V3800PRO v31.40H,NA,5,149,NA,NA,NA,Jun 2013,Unknown,NA,NA,NA,NA,2147,1,ASUS+AGP-V3800PRO+v31.40H&amp;id=2539,true
346,ASUS EAH4870x2,NA,496,539,NA,NA,NA,Apr 2009,Unknown,NA,NA,NA,NA,1271,2,ASUS+EAH4870x2&amp;id=346,true
3638,Asus GTX 650 FML II EC-EGPU,NA,721,534,NA,NA,NA,Dec 2016,Unknown,NA,NA,NA,NA,1020,1,Asus+GTX+650+FML+II+EC-EGPU&amp;id=3638,true
375,ASUS V9520-X V62.11,NA,8,208,NA,NA,NA,Jan 2011,Unknown,NA,NA,NA,NA,2083,1,ASUS+V9520-X+V62.11&amp;id=375,true
3941,B8DKMDAP,NA,"4,557",534,NA,NA,NA,May 2018,Unknown,NA,NA,NA,NA,254,1,B8DKMDAP&amp;id=3941,true
2698,Barco MXRT 1450,NA,206,520,NA,NA,NA,Oct 2013,Unknown,NA,NA,NA,NA,1544,1,Barco+MXRT+1450&amp;id=2698,true
3886,Barco MXRT 2600,$199.00*,900,649,4.52,NA,NA,Jan 2018,Unknown,NA,NA,NA,NA,867,1,Barco+MXRT+2600&amp;id=3886,true
3354,Barco MXRT 5400,$198.00*,"1,161",457,5.86,NA,NA,Dec 2016,Unknown,NA,NA,NA,NA,726,3,Barco+MXRT+5400&amp;id=3354,true
2526,Barco MXRT 5450,$59.99*,"1,079",478,17.99,NA,NA,May 2013,Unknown,NA,NA,NA,NA,756,5,Barco+MXRT+5450&amp;id=2526,true
2699,Barco MXRT 5500,$299.00*,"2,702",510,9.04,NA,NA,Jun 2018,Unknown,NA,NA,NA,NA,388,1,Barco+MXRT+5500&amp;id=2699,true
2621,Barco MXRT 7100,NA,180,659,NA,NA,NA,Aug 2013,Unknown,NA,NA,NA,NA,1577,1,Barco+MXRT+7100&amp;id=2621,true
2474,Barco MXRT 7400,$99.00*,901,682,9.10,NA,NA,Apr 2013,Unknown,NA,NA,NA,NA,866,1,Barco+MXRT+7400&amp;id=2474,true
3353,Barco MXRT 7500,$299.00*,"4,319",762,14.45,NA,NA,Nov 2015,Unknown,NA,NA,NA,NA,269,3,Barco+MXRT+7500&amp;id=3353,true
4014,Barco MXRT 7600,$597.99*,"4,944",442,8.27,NA,NA,Nov 2018,Unknown,NA,NA,NA,NA,239,1,Barco+MXRT+7600&amp;id=4014,true
3144,BASICDISPLAY,NA,70,691,NA,NA,NA,Feb 2015,Unknown,NA,NA,NA,NA,1841,1,BASICDISPLAY&amp;id=3144,true
